date,time,x,y,num_people,people_ids,people_names
2014-01-17,2014-01-17 17:12:00,24.87957,36.04846,6,"2, 8, 9, 23, 24, 34","2 (Lars Azada), 8 (Lucas Alcazar), 9 (Gustav Cazar), 23 (Varja Lagos), 24 (Minke Mies), 34 (Edvard Vann)"
2014-01-17,2014-01-17 17:12:00,24.87957,36.04855,6,"2, 9, 23, 24, 27, 34","2 (Lars Azada), 9 (Gustav Cazar), 23 (Varja Lagos), 24 (Minke Mies), 27 (Kare Orilla), 34 (Edvard Vann)"
2014-01-09,2014-01-09 08:07:00,24.87957,36.04803,5,"13, 18, 21, 23, 30","13 (Inga Ferro), 18 (Birgitta Frente), 21 (Hennie Osvaldo), 23 (Varja Lagos), 30 (Felix Resumir)"
2014-01-16,2014-01-16 17:19:00,24.87957,36.0489,5,"9, 17, 23, 27, 34","9 (Gustav Cazar), 17 (Sven Flecha), 23 (Varja Lagos), 27 (Kare Orilla), 34 (Edvard Vann)"
2014-01-17,2014-01-17 17:12:00,24.87957,36.04881,5,"2, 8, 9, 27, 34","2 (Lars Azada), 8 (Lucas Alcazar), 9 (Gustav Cazar), 27 (Kare Orilla), 34 (Edvard Vann)"
2014-01-17,2014-01-17 17:12:00,24.87957,36.0489,5,"2, 9, 23, 24, 27","2 (Lars Azada), 9 (Gustav Cazar), 23 (Varja Lagos), 24 (Minke Mies), 27 (Kare Orilla)"
2014-01-09,2014-01-09 08:07:00,24.87957,36.04897,4,"13, 18, 21, 23","13 (Inga Ferro), 18 (Birgitta Frente), 21 (Hennie Osvaldo), 23 (Varja Lagos)"
2014-01-10,2014-01-10 12:17:00,24.87957,36.0482,4,"10, 25, 30, 101","10 (Ada Campo-Corrente), 25 (Kanon Herrero), 30 (Felix Resumir), 101"
2014-01-10,2014-01-10 12:17:00,24.87957,36.04855,4,"10, 11, 30, 101","10 (Ada Campo-Corrente), 11 (Axel Calzas), 30 (Felix Resumir), 101"
2014-01-14,2014-01-14 12:23:00,24.87957,36.04803,4,"9, 17, 23, 30","9 (Gustav Cazar), 17 (Sven Flecha), 23 (Varja Lagos), 30 (Felix Resumir)"
2014-01-14,2014-01-14 12:23:00,24.87958,36.04995,4,"9, 17, 23, 30","9 (Gustav Cazar), 17 (Sven Flecha), 23 (Varja Lagos), 30 (Felix Resumir)"
2014-01-16,2014-01-16 17:19:00,24.87957,36.04811,4,"9, 17, 23, 27","9 (Gustav Cazar), 17 (Sven Flecha), 23 (Varja Lagos), 27 (Kare Orilla)"
2014-01-16,2014-01-16 17:19:00,24.87957,36.0482,4,"9, 17, 23, 27","9 (Gustav Cazar), 17 (Sven Flecha), 23 (Varja Lagos), 27 (Kare Orilla)"
2014-01-16,2014-01-16 17:19:00,24.87957,36.04864,4,"9, 17, 23, 34","9 (Gustav Cazar), 17 (Sven Flecha), 23 (Varja Lagos), 34 (Edvard Vann)"
2014-01-17,2014-01-17 17:12:00,24.87957,36.04803,4,"8, 23, 24, 27","8 (Lucas Alcazar), 23 (Varja Lagos), 24 (Minke Mies), 27 (Kare Orilla)"
2014-01-17,2014-01-17 17:12:00,24.87957,36.04873,4,"8, 9, 24, 34","8 (Lucas Alcazar), 9 (Gustav Cazar), 24 (Minke Mies), 34 (Edvard Vann)"
2014-01-17,2014-01-17 17:12:00,24.87957,36.04898,4,"2, 8, 23, 34","2 (Lars Azada), 8 (Lucas Alcazar), 23 (Varja Lagos), 34 (Edvard Vann)"
2014-01-17,2014-01-17 17:12:00,24.87957,36.04916,4,"2, 8, 9, 24","2 (Lars Azada), 8 (Lucas Alcazar), 9 (Gustav Cazar), 24 (Minke Mies)"
2014-01-17,2014-01-17 17:42:00,24.87957,36.04855,4,"6, 19, 24, 25","6 (Linnea Bergen), 19 (Vira Frente), 24 (Minke Mies), 25 (Kanon Herrero)"
2014-01-06,2014-01-06 12:17:00,24.87957,36.04829,3,"1, 2, 27","1 (Nils Calixto), 2 (Lars Azada), 27 (Kare Orilla)"
2014-01-06,2014-01-06 17:22:00,24.87957,36.0482,3,"5, 15, 30","5 (Isak Baza), 15 (Loreto Bodrogi), 30 (Felix Resumir)"
2014-01-06,2014-01-06 17:22:00,24.87957,36.04864,3,"5, 15, 30","5 (Isak Baza), 15 (Loreto Bodrogi), 30 (Felix Resumir)"
2014-01-06,2014-01-06 17:32:00,24.87957,36.04803,3,"7, 14, 33","7 (Elsa Orilla), 14 (Lidelse Dedos), 33 (Brand Tempestad)"
2014-01-06,2014-01-06 17:32:00,24.87957,36.0489,3,"7, 14, 33","7 (Elsa Orilla), 14 (Lidelse Dedos), 33 (Brand Tempestad)"
2014-01-06,2014-01-06 17:32:00,24.87958,36.04907,3,"7, 14, 33","7 (Elsa Orilla), 14 (Lidelse Dedos), 33 (Brand Tempestad)"
2014-01-07,2014-01-07 12:09:00,24.87957,36.04864,3,"1, 4, 7","1 (Nils Calixto), 4 (Ingrid Barranco), 7 (Elsa Orilla)"
2014-01-07,2014-01-07 17:40:00,24.87957,36.04838,3,"1, 14, 26","1 (Nils Calixto), 14 (Lidelse Dedos), 26 (Marin Onda)"
2014-01-08,2014-01-08 07:55:00,24.87957,36.04882,3,"14, 15, 18","14 (Lidelse Dedos), 15 (Loreto Bodrogi), 18 (Birgitta Frente)"
2014-01-08,2014-01-08 08:07:00,24.87957,36.04812,3,"1, 17, 34","1 (Nils Calixto), 17 (Sven Flecha), 34 (Edvard Vann)"
2014-01-08,2014-01-08 08:07:00,24.87957,36.04822,3,"1, 17, 34","1 (Nils Calixto), 17 (Sven Flecha), 34 (Edvard Vann)"
2014-01-08,2014-01-08 08:07:00,24.87957,36.04903,3,"1, 17, 34","1 (Nils Calixto), 17 (Sven Flecha), 34 (Edvard Vann)"
2014-01-08,2014-01-08 12:08:00,24.87957,36.04803,3,"1, 26, 34","1 (Nils Calixto), 26 (Marin Onda), 34 (Edvard Vann)"
2014-01-08,2014-01-08 12:13:00,24.87957,36.04864,3,"3, 5, 22","3 (Felix Balas), 5 (Isak Baza), 22 (Adra Nubarron)"
2014-01-08,2014-01-08 12:14:00,24.87958,36.04908,3,"12, 17, 27","12 (Hideki Cocinaro), 17 (Sven Flecha), 27 (Kare Orilla)"
2014-01-08,2014-01-08 13:45:00,24.87957,36.04839,3,"17, 22, 26","17 (Sven Flecha), 22 (Adra Nubarron), 26 (Marin Onda)"
2014-01-08,2014-01-08 17:22:00,24.87957,36.04881,3,"7, 21, 33","7 (Elsa Orilla), 21 (Hennie Osvaldo), 33 (Brand Tempestad)"
2014-01-09,2014-01-09 07:58:00,24.87957,36.04803,3,"1, 12, 17","1 (Nils Calixto), 12 (Hideki Cocinaro), 17 (Sven Flecha)"
2014-01-09,2014-01-09 08:07:00,24.87957,36.04806,3,"13, 23, 30","13 (Inga Ferro), 23 (Varja Lagos), 30 (Felix Resumir)"
2014-01-09,2014-01-09 08:07:00,24.87957,36.04823,3,"18, 21, 30","18 (Birgitta Frente), 21 (Hennie Osvaldo), 30 (Felix Resumir)"
2014-01-09,2014-01-09 08:07:00,24.87957,36.04837,3,"18, 21, 23","18 (Birgitta Frente), 21 (Hennie Osvaldo), 23 (Varja Lagos)"
2014-01-09,2014-01-09 08:07:00,24.87957,36.04847,3,"13, 21, 30","13 (Inga Ferro), 21 (Hennie Osvaldo), 30 (Felix Resumir)"
2014-01-09,2014-01-09 08:07:00,24.87957,36.04862,3,"13, 18, 23","13 (Inga Ferro), 18 (Birgitta Frente), 23 (Varja Lagos)"
2014-01-09,2014-01-09 08:07:00,24.87957,36.04887,3,"13, 18, 23","13 (Inga Ferro), 18 (Birgitta Frente), 23 (Varja Lagos)"
2014-01-09,2014-01-09 08:07:00,24.87958,36.04908,3,"13, 18, 30","13 (Inga Ferro), 18 (Birgitta Frente), 30 (Felix Resumir)"
2014-01-09,2014-01-09 08:07:00,24.87958,36.04917,3,"13, 21, 23","13 (Inga Ferro), 21 (Hennie Osvaldo), 23 (Varja Lagos)"
2014-01-10,2014-01-10 08:15:00,24.87957,36.04803,3,"1, 15, 30","1 (Nils Calixto), 15 (Loreto Bodrogi), 30 (Felix Resumir)"
2014-01-10,2014-01-10 08:15:00,24.87957,36.04807,3,"15, 22, 30","15 (Loreto Bodrogi), 22 (Adra Nubarron), 30 (Felix Resumir)"
2014-01-10,2014-01-10 08:15:00,24.87957,36.04812,3,"15, 22, 30","15 (Loreto Bodrogi), 22 (Adra Nubarron), 30 (Felix Resumir)"
2014-01-10,2014-01-10 08:15:00,24.87957,36.04922,3,"15, 22, 30","15 (Loreto Bodrogi), 22 (Adra Nubarron), 30 (Felix Resumir)"
